sensor_id,geom_type,geo_feature,feature_type,buffer_size,value
86369,line,highway,residential,100,123.90763384444003
84721,line,highway,tertiary,500,1173.98201754726
81541,line,highway,residential,500,5087.633535733442
8640,line,highway,footway,1000,356.45608860666175
66029,line,waterway,stream,500,727.9309579507483
81081,line,waterway,stream,1000,407.49187472576506
81081,line,highway,track,1000,1178.5280067457022
81541,line,highway,residential,100,332.11615801454934
83081,line,highway,secondary,100,72.64460868117152
83499,line,highway,cycleway,1000,328.5774997443188
81081,line,highway,path,500,586.284313713102
85641,line,highway,secondary,1000,568.0626504297559
8640,line,highway,secondary,500,1975.335561402244
66029,line,highway,tertiary,1000,1887.3675637428423
85641,line,highway,path,100,77.90878778769329
81081,line,highway,residential,100,405.57247637992606
84721,line,highway,footway,1000,1095.637183846143
83499,line,highway,service,100,30.20472188894484
84721,line,highway,residential,100,180.20482374883088
81541,line,highway,footway,500,17057.37554661536
86369,line,man_made,pipeline,1000,262.5092124568164
72607,line,highway,service,500,2517.127208968227
81541,line,waterway,stream,1000,983.9682950807231
72607,line,highway,path,1000,3995.473614024131
81541,line,highway,service,500,2051.295403959504
86369,line,highway,track,1000,715.139449917428
84721,line,highway,tertiary,1000,3902.473138872759
81081,line,highway,footway,100,399.2017035620246
86369,line,highway,footway,1000,1508.910077167305
83081,line,highway,residential,1000,17896.38286932175
85641,line,highway,service,1000,6811.815517319989
85641,line,highway,residential,500,8561.322852715739
85641,line,highway,path,500,409.7297438582694
81081,line,highway,bridleway,1000,818.241365178601
81081,line,highway,footway,500,5170.638624141162
81541,line,man_made,compass_rose,1000,16.38462424866303
66029,line,highway,path,1000,11020.313011093262
83499,line,highway,residential,500,4892.254852110116
72607,line,highway,service,1000,8111.42868131064
83081,line,waterway,stream,1000,93.11725333268521
8640,line,highway,tertiary,1000,3561.287919704956
81081,line,highway,residential,500,6853.039027999723
81541,line,highway,trunk,1000,1965.106554651795
83499,line,highway,service,500,1701.8489650284905
81541,line,highway,tertiary,1000,3064.216088587707
86369,line,highway,residential,500,5443.896011447444
84721,line,highway,service,500,181.93166083545947
83499,line,highway,tertiary,500,695.1968934786331
83081,line,highway,track,1000,690.6553063418186
84721,line,highway,steps,1000,1103.609967137797
86369,line,highway,unclassified,1000,172.45247171956868
83081,line,highway,service,1000,5301.200610369318
81541,line,highway,secondary,500,2582.367562167296
66029,line,highway,unclassified,1000,44.06824252733906
85641,line,highway,residential,100,818.1256012837359
84721,line,highway,residential,1000,30630.414407842218
81541,line,man_made,water_works,1000,134.32630487906317
86369,line,highway,steps,1000,9.916955996950392
72607,line,waterway,stream,1000,2515.7035240918012
86369,line,waterway,stream,100,214.04449277335567
83081,line,highway,footway,100,281.08491272347106
83499,line,highway,residential,100,330.0666820687854
83499,line,highway,tertiary,1000,3332.8530162732186
66029,line,highway,residential,1000,11755.017912438514
85641,line,highway,service,500,180.91063468055904
83081,line,highway,footway,1000,5425.928345490795
66029,line,highway,residential,100,218.83251774112205
85641,line,highway,residential,1000,25712.430040241117
86369,line,highway,service,500,1342.782968143265
84721,line,highway,steps,500,101.67165333148331
81541,line,highway,trunk_link,1000,11.267466720961906
72607,line,highway,residential,500,5910.496823226121
8640,line,highway,residential,100,85.29361833047017
84721,line,highway,residential,500,7489.452420874139
84721,line,highway,service,1000,2029.7704409352473
81081,line,highway,tertiary,1000,1206.5933586457118
8640,line,highway,track,500,62.407200942643875
81081,line,highway,path,1000,3017.154505937067
81541,line,highway,tertiary,500,805.9632618661964
81541,line,highway,unclassified,1000,2928.5595479779845
86369,line,highway,cycleway,1000,50.211090576416105
83499,line,highway,footway,500,3410.6280904439272
85641,line,highway,footway,1000,1325.1662438006042
81541,line,highway,footway,100,662.2276194558194
72607,line,highway,footway,1000,443.8483572805751
83081,line,highway,path,1000,1376.931051273779
86369,line,waterway,stream,1000,2295.9009446428067
66029,line,highway,footway,100,215.30651047790215
85641,line,highway,path,1000,561.4428752543436
81081,line,highway,service,500,950.1581436286671
81541,line,highway,cycleway,1000,836.8726455732295
83081,line,highway,secondary,1000,3716.6935111987013
66029,line,highway,service,1000,3343.0801486134123
66029,line,highway,footway,1000,13206.131114871398
72607,line,highway,residential,1000,24687.117781619316
8640,line,highway,secondary,100,197.18033629748732
72607,line,highway,residential,100,441.22112540475325
8640,line,highway,cycleway,100,32.42047389754144
86369,line,highway,tertiary,1000,859.2697280672363
85641,line,highway,secondary,500,27.183098910772944
72607,line,highway,secondary,1000,3576.6138188114596
85641,line,highway,primary,1000,3312.23112971356
81081,line,highway,secondary,1000,5480.123529380559
8640,line,highway,secondary,1000,3977.699606848768
66029,line,highway,secondary_link,1000,27.59762031946721
86369,line,highway,secondary_link,1000,69.77898314172602
86369,line,waterway,stream,500,1145.1973988212246
83081,line,highway,service,100,812.0331267153927
81541,line,highway,footway,1000,68606.11972664502
8640,line,highway,service,500,1008.7145063512976
86369,line,highway,service,1000,10051.73373291691
86369,line,highway,motorway,1000,2022.802689054689
83081,line,highway,path,500,197.0121136679912
8640,line,highway,track,1000,2940.956362030128
8640,line,highway,residential,1000,18649.20858340113
86369,line,highway,secondary,1000,2185.2704507553003
81541,line,man_made,compass_rose,500,16.38462424866303
86369,line,highway,secondary,500,1029.245996835477
81081,line,highway,secondary,500,2118.303568710777
66029,line,highway,secondary,1000,1769.072822019388
85641,line,highway,primary,500,792.9180773132987
84721,line,highway,footway,500,437.4802635574922
81541,line,highway,service,1000,9620.10434657918
66029,line,highway,track,500,952.8277889810217
83499,line,highway,path,1000,893.6132070683368
86369,line,highway,motorway_link,1000,1801.6513086152663
84721,line,highway,service,100,112.69940392413862
83081,line,highway,service,500,1567.1026297208973
8640,line,highway,tertiary,500,229.4655014024386
66029,line,highway,path,500,3639.4981640637925
66029,line,highway,path,100,60.317674176209266
66029,line,highway,footway,500,2781.7445172934977
66029,line,highway,residential,500,2458.933877771416
66029,line,highway,track,1000,7316.818925925899
81081,line,highway,footway,1000,20447.83335884939
66029,line,man_made,pier,1000,24.274107317538345
83081,line,highway,secondary,500,1499.4001864351535
8640,line,highway,service,1000,3537.029745985564
72607,line,highway,steps,1000,54.620421032104105
85641,line,highway,footway,500,352.698972118127
66029,line,highway,tertiary,500,903.6802823135137
72607,line,highway,tertiary,1000,1196.557997535208
81081,line,highway,residential,1000,20491.678491620758
8640,line,highway,footway,500,67.72498256679746
72607,line,highway,tertiary,500,612.3945270226457
81541,line,highway,secondary,1000,7520.411022112576
83499,line,highway,service,1000,6511.662589716924
81541,line,highway,secondary_link,1000,203.2061132779667
72607,line,waterway,stream,500,765.7638908052089
85641,line,highway,tertiary,1000,330.20175602997926
8640,line,highway,cycleway,1000,2481.8387803917835
8640,line,highway,residential,500,5513.492640515938
86369,line,highway,primary,1000,663.3849650221686
83081,line,highway,footway,500,2415.4983472427543
72607,line,man_made,reservoir_covered,1000,482.3825941912804
66029,line,waterway,stream,1000,1931.0657010479238
83081,line,highway,residential,500,4882.445923227424
85641,line,highway,steps,1000,34.461309058628075
83499,line,highway,residential,1000,20936.773460028973
83499,line,highway,footway,1000,10759.207314524501
72607,line,highway,secondary,500,931.2927948786626
81081,line,highway,service,1000,5377.484359188357
84721,line,waterway,stream,1000,1120.0995718728802
83081,line,highway,primary,1000,1737.3989708694814
8640,line,highway,cycleway,500,1339.6844840205206
81541,line,highway,residential,1000,21779.244428169026
86369,line,highway,residential,1000,17198.207127803173
