sensor_id,geom_type,geo_feature,feature_type,buffer_size,value
72607,point,highway,turning_circle,500,2
83499,point,highway,stop,500,9
83081,point,highway,traffic_signals,1000,2
81081,point,highway,crossing,1000,103
84721,point,highway,traffic_signals,1000,1
85641,point,highway,bus_stop,1000,5
81541,point,highway,crossing,1000,360
83081,point,highway,traffic_signals,500,1
83499,point,highway,crossing,500,16
84721,point,highway,crossing,1000,9
72607,point,highway,bus_stop,1000,16
84721,point,highway,stop,1000,2
83499,point,highway,stop,1000,40
81081,point,highway,bus_stop,1000,5
83499,point,highway,turning_circle,1000,21
84721,point,highway,crossing,500,1
81081,point,highway,crossing,500,29
81081,point,highway,turning_circle,1000,42
84721,point,highway,bus_stop,1000,29
81541,point,highway,stop,500,7
81081,point,highway,crossing,100,4
83499,point,highway,crossing,1000,46
8640,point,highway,turning_circle,500,9
81541,point,highway,turning_circle,1000,5
81541,point,highway,traffic_signals,1000,8
86369,point,highway,street_lamp,1000,70
66029,point,highway,crossing,1000,4
81081,point,highway,turning_circle,500,13
86369,point,highway,crossing,1000,35
86369,point,highway,traffic_signals,1000,7
8640,point,highway,traffic_signals,1000,2
72607,point,highway,crossing,500,6
85641,point,highway,stop,1000,6
85641,point,highway,crossing,1000,4
66029,point,highway,turning_circle,500,4
66029,point,highway,bus_stop,1000,2
81081,point,highway,traffic_signals,1000,10
83081,point,highway,stop,500,2
8640,point,highway,stop,1000,3
81081,point,highway,traffic_signals,500,2
83081,point,highway,mini_roundabout,1000,1
81081,point,highway,stop,100,1
84721,point,highway,turning_circle,1000,13
81541,point,highway,traffic_signals,500,3
72607,point,highway,turning_circle,1000,8
86369,point,highway,turning_circle,1000,5
85641,point,highway,traffic_signals,500,1
84721,point,highway,bus_stop,500,8
72607,point,highway,traffic_signals,500,1
83081,point,highway,stop,1000,16
83499,point,highway,turning_loop,1000,1
86369,point,highway,bus_stop,500,2
83081,point,highway,turning_circle,500,11
83499,point,highway,turning_circle,500,4
81081,point,highway,stop,500,6
86369,point,highway,motorway_junction,1000,1
81541,point,highway,stop,1000,56
81541,point,highway,bus_stop,1000,3
66029,point,highway,turning_circle,1000,11
86369,point,highway,stop,1000,16
66029,point,highway,traffic_signals,1000,5
72607,point,highway,traffic_signals,1000,2
81081,point,highway,stop,1000,11
83081,point,highway,mini_roundabout,500,1
85641,point,highway,bus_stop,500,1
84721,point,highway,traffic_signals,500,1
8640,point,highway,stop,500,1
81541,point,highway,crossing,500,90
83081,point,highway,turning_circle,1000,26
72607,point,highway,bus_stop,500,6
83081,point,highway,crossing,1000,8
86369,point,highway,bus_stop,1000,5
84721,point,highway,turning_circle,500,1
66029,point,highway,stop,1000,6
8640,point,highway,turning_circle,1000,19
86369,point,highway,crossing,500,3
81541,point,highway,give_way,1000,1
83499,point,highway,traffic_signals,1000,1
85641,point,highway,turning_circle,1000,1
66029,point,highway,stop,500,1
72607,point,highway,crossing,1000,12
81541,point,highway,bus_stop,500,1
83081,point,highway,crossing,500,4
85641,point,highway,traffic_signals,1000,2
8640,point,highway,traffic_signals,500,1
