sensor_id,geom_type,geo_feature,feature_type,buffer_size,value
72607,point,highway,traffic_signals,1000,2
66029,point,highway,turning_circle,500,4
8640,point,highway,turning_circle,1000,19
81541,point,highway,crossing,1000,360
86369,point,highway,bus_stop,1000,5
66029,point,highway,stop,1000,6
81081,point,highway,stop,100,1
84721,point,highway,turning_circle,1000,13
81081,point,highway,crossing,100,4
72607,point,highway,turning_circle,500,2
66029,point,highway,crossing,1000,4
83081,point,highway,mini_roundabout,500,1
83081,point,highway,traffic_signals,1000,2
85641,point,highway,bus_stop,500,1
8640,point,highway,traffic_signals,500,1
83499,point,highway,stop,500,9
84721,point,highway,bus_stop,1000,29
83499,point,highway,turning_loop,1000,1
83081,point,highway,mini_roundabout,1000,1
85641,point,highway,traffic_signals,1000,2
86369,point,highway,turning_circle,1000,5
72607,point,highway,crossing,500,6
83499,point,highway,turning_circle,1000,21
83081,point,highway,turning_circle,1000,26
81541,point,highway,bus_stop,500,1
84721,point,highway,bus_stop,500,8
83081,point,highway,crossing,1000,8
72607,point,highway,crossing,1000,12
72607,point,highway,bus_stop,1000,16
81081,point,highway,turning_circle,500,13
8640,point,highway,traffic_signals,1000,2
85641,point,highway,turning_circle,1000,1
81081,point,highway,turning_circle,1000,42
8640,point,highway,stop,1000,3
81541,point,highway,bus_stop,1000,3
83081,point,highway,traffic_signals,500,1
83081,point,highway,stop,1000,16
8640,point,highway,stop,500,1
84721,point,highway,traffic_signals,1000,1
83499,point,highway,crossing,500,16
81081,point,highway,traffic_signals,500,2
81541,point,highway,turning_circle,1000,5
8640,point,highway,turning_circle,500,9
84721,point,highway,stop,1000,2
81081,point,highway,traffic_signals,1000,10
86369,point,highway,stop,1000,16
84721,point,highway,crossing,500,1
83081,point,highway,stop,500,2
81541,point,highway,stop,1000,56
66029,point,highway,traffic_signals,1000,5
84721,point,highway,crossing,1000,9
85641,point,highway,traffic_signals,500,1
83081,point,highway,turning_circle,500,11
83499,point,highway,stop,1000,40
83499,point,highway,turning_circle,500,4
85641,point,highway,stop,1000,6
72607,point,highway,traffic_signals,500,1
81081,point,highway,crossing,500,29
85641,point,highway,crossing,1000,4
84721,point,highway,turning_circle,500,1
83499,point,highway,traffic_signals,1000,1
83499,point,highway,crossing,1000,46
81541,point,highway,traffic_signals,500,3
86369,point,highway,traffic_signals,1000,7
72607,point,highway,bus_stop,500,6
81541,point,highway,give_way,1000,1
83081,point,highway,crossing,500,4
85641,point,highway,bus_stop,1000,5
81081,point,highway,bus_stop,1000,5
66029,point,highway,bus_stop,1000,2
84721,point,highway,traffic_signals,500,1
86369,point,highway,bus_stop,500,2
81541,point,highway,traffic_signals,1000,8
72607,point,highway,turning_circle,1000,8
81081,point,highway,crossing,1000,103
86369,point,highway,crossing,1000,35
81541,point,highway,stop,500,7
66029,point,highway,stop,500,1
81081,point,highway,stop,1000,11
86369,point,highway,street_lamp,1000,70
81081,point,highway,stop,500,6
66029,point,highway,turning_circle,1000,11
81541,point,highway,crossing,500,90
86369,point,highway,motorway_junction,1000,1
86369,point,highway,crossing,500,3
