sensor_id,geom_type,geo_feature,feature_type,buffer_size,value
81081,polygon,landuse,grass,500,701.9985671169317
81541,polygon,building,carport,500,117.34937258274658
81541,polygon,building,retail,1000,42269.04307560818
83081,polygon,building,residential,500,5850.212904498965
66029,polygon,landuse,residential,500,345657.45634541946
81081,polygon,building,roof,1000,688.9460472717551
86369,polygon,landuse,retail,1000,11254.915792342239
81541,polygon,amenity,parking,1000,41049.93703541079
83499,polygon,amenity,school,1000,71944.70654169549
8640,polygon,landuse,residential,1000,120759.86344824043
84721,polygon,tourism,guest_house,1000,288.0141306273096
83499,polygon,tourism,picnic_site,1000,5524.684249003176
83081,polygon,building,house,1000,381744.566234792
83081,polygon,building,commercial,500,852.8258476714253
81081,polygon,landuse,retail,1000,20945.239758694028
84721,polygon,building,house,500,17135.40377480735
81081,polygon,natural,scrub,500,25797.791459541288
83499,polygon,building,government,1000,64.76645152153058
81541,polygon,amenity,place_of_worship,1000,37971.72753233804
81541,polygon,building,semidetached_house,1000,16840.95792215932
81081,polygon,landuse,recreation_ground,1000,59.45823413424796
8640,polygon,amenity,school,1000,55046.27224289229
86369,polygon,building,roof,1000,208.68902632291474
83499,polygon,amenity,place_of_worship,1000,1107.9294766906203
83499,polygon,building,church,1000,1461.7279349425658
85641,polygon,tourism,motel,1000,899.3998543348148
81541,polygon,landuse,residential,1000,2424189.2969393227
84721,polygon,building,house,100,426.2827970479912
86369,polygon,amenity,bank,1000,685.7575665583817
83081,polygon,amenity,school,100,27746.20931361062
85641,polygon,tourism,attraction,1000,325.79780410729677
81541,polygon,building,office,500,2195.137571693399
86369,polygon,building,house,500,986.9574846361863
83081,polygon,landuse,residential,500,14674.797685193405
81081,polygon,amenity,fuel,1000,161.6650690037349
83499,polygon,amenity,parking,1000,4561.496179076112
72607,polygon,landuse,residential,500,736101.9414260214
83081,polygon,building,commercial,1000,3668.659517416103
81541,polygon,building,roof,1000,4707.879352505954
83499,polygon,building,residential,500,1880.1599837422468
83081,polygon,building,retail,1000,8555.00102765683
83081,polygon,amenity,parking,1000,12602.93458541122
81541,polygon,building,school,500,7379.404606707353
81081,polygon,natural,wood,500,49984.72368238424
83081,polygon,natural,scrub,1000,79.87169933461236
81541,polygon,building,apartments,500,4658.456107730937
72607,polygon,landuse,retail,1000,103623.35076321587
72607,polygon,landuse,residential,100,31214.451523088497
83081,polygon,amenity,school,1000,218822.74225819542
66029,polygon,natural,water,500,1.530745402918392
81081,polygon,amenity,school,1000,59052.68086623082
8640,polygon,building,house,500,212.78945723661045
81541,polygon,tourism,picnic_site,500,69.49992979908448
81541,polygon,building,semidetached_house,500,3540.559367847888
85641,polygon,amenity,parking,1000,10281.655363637035
81081,polygon,amenity,parking,1000,6458.224847894222
81541,polygon,amenity,school,500,54132.660750119045
72607,polygon,landuse,retail,500,32984.637073177204
85641,polygon,amenity,school,1000,25341.660035077548
83081,polygon,landuse,residential,1000,122829.94905304616
83499,polygon,landuse,residential,500,42662.260275602355
8640,polygon,amenity,library,1000,328.16991386737266
72607,polygon,building,house,1000,12786.41927788184
66029,polygon,natural,water,1000,10862.1139758698
83499,polygon,tourism,picnic_site,500,5524.684249003176
81081,polygon,landuse,meadow,1000,1720.2296972953116
84721,polygon,amenity,school,500,5189.355383503775
8640,polygon,natural,water,500,1999.4017142387354
83499,polygon,amenity,community_centre,1000,2679.6127344169226
81541,polygon,building,commercial,1000,3289.7016928188486
81541,polygon,building,house,1000,5169.4074875645665
84721,polygon,building,house,1000,107255.96968357204
84721,polygon,building,garage,500,848.8205841445779
85641,polygon,amenity,restaurant,1000,928.8555920804718
86369,polygon,amenity,fuel,1000,2077.3009369714005
83499,polygon,building,office,1000,4343.705312448789
81541,polygon,building,carport,1000,784.1875516839009
81541,polygon,tourism,picnic_site,1000,69.49992979908448
81541,polygon,landuse,residential,100,31214.451522507174
83499,polygon,landuse,religious,1000,16978.833205437575
66029,polygon,landuse,residential,1000,1156352.1916908755
72607,polygon,amenity,parking,500,10859.327627012708
81541,polygon,amenity,fast_food,1000,162.43040762245485
81541,polygon,building,stadium,1000,284.8210349025475
66029,polygon,amenity,parking,1000,31651.423256367678
81541,polygon,building,shed,500,381.47064233810977
81081,polygon,amenity,school,500,13130.379470441667
8640,polygon,building,house,1000,212.78945723661045
81541,polygon,natural,wood,1000,1235.457488655646
81541,polygon,building,office,1000,2832.4227239808974
66029,polygon,building,residential,1000,116.92875217931545
72607,polygon,amenity,shelter,1000,22.891736309751458
8640,polygon,natural,water,1000,13234.93749877009
85641,polygon,amenity,place_of_worship,1000,1157.2826809698597
81541,polygon,building,retail,500,2165.973112575325
66029,polygon,natural,scrub,1000,5832.404583700503
83081,polygon,amenity,school,500,123078.89260025385
81541,polygon,landuse,commercial,1000,86419.55820401007
84721,polygon,amenity,school,1000,11799.749118512766
81541,polygon,building,detached,1000,272924.6461469059
83081,polygon,landuse,retail,1000,30001.070260486187
83081,polygon,building,school,1000,10997.157607032346
81081,polygon,landuse,residential,100,31214.451522617263
85641,polygon,amenity,bank,1000,2214.350865213996
86369,polygon,natural,wood,1000,62515.14176246992
86369,polygon,amenity,pharmacy,1000,1186.6065022964528
81081,polygon,landuse,residential,500,647943.689753335
81541,polygon,building,detached,500,54151.88984858855
81081,polygon,building,house,1000,790.5499743900656
81541,polygon,building,toilets,500,43.87192949957414
83499,polygon,amenity,clinic,1000,2611.988898702011
72607,polygon,natural,wood,1000,1598.7890089659827
81541,polygon,amenity,school,1000,206694.28653323004
81541,polygon,building,garage,1000,1748.3441683907533
