sensor_id,geom_type,geo_feature,feature_type,buffer_size,value
62419,point,highway,turning_circle,500,5
61015,point,highway,traffic_signals,100,3
86383,point,highway,turning_circle,1000,16
57355,point,highway,bus_stop,500,8
2362,point,highway,bus_stop,1000,7
56777,point,highway,crossing,500,68
89911,point,highway,turning_circle,500,8
78819,point,highway,turning_circle,100,1
61193,point,highway,turning_circle,1000,2
111590,point,highway,traffic_signals,1000,25
22459,point,highway,turning_circle,500,3
89847,point,highway,crossing,500,4
9168,point,highway,turning_circle,1000,1
77049,point,highway,turning_circle,1000,30
37849,point,highway,priority,500,10
60353,point,highway,turning_circle,500,11
19157,point,highway,stop,1000,79
22067,point,highway,turning_circle,500,3
71503,point,highway,bus_stop,500,5
85823,point,highway,traffic_signals,500,24
113877,point,highway,turning_circle,1000,1
112310,point,highway,stop,100,1
40471,point,highway,stop,1000,17
97693,point,highway,stop,500,5
109718,point,highway,turning_circle,500,7
68393,point,highway,bus_stop,500,8
60829,point,highway,stop,1000,10
83641,point,highway,traffic_signals,1000,15
22461,point,highway,bus_stop,500,3
78615,point,highway,turning_circle,500,7
67779,point,highway,turning_circle,500,12
57787,point,highway,crossing,1000,5
112008,point,highway,bus_stop,1000,34
38371,point,highway,stop,1000,3
62455,point,highway,bus_stop,500,7
18453,point,highway,traffic_signals,1000,4
79147,point,highway,crossing,500,1
82847,point,highway,motorway_junction,1000,1
104460,point,highway,bus_stop,500,5
37725,point,highway,crossing,1000,194
75061,point,highway,turning_circle,1000,4
18287,point,highway,give_way,1000,2
22459,point,highway,stop,500,1
81047,point,highway,turning_circle,500,5
84997,point,highway,traffic_signals,1000,9
60663,point,highway,bus_stop,500,3
84357,point,highway,crossing,1000,2
65437,point,highway,street_lamp,1000,15
19157,point,highway,crossing,500,78
112834,point,highway,stop,1000,94
109324,point,highway,stop,1000,2
79147,point,highway,turning_circle,1000,15
78267,point,highway,street_lamp,1000,24
114379,point,highway,give_way,1000,1
70009,point,highway,crossing,500,9
115705,point,highway,bus_stop,500,5
68669,point,highway,traffic_signals,1000,3
28425,point,highway,crossing,500,33
50093,point,highway,crossing,500,20
121439,point,highway,crossing,1000,28
104672,point,highway,bus_stop,1000,18
20165,point,highway,stop,500,18
78819,point,highway,stop,100,2
69599,point,highway,bus_stop,500,4
65747,point,highway,stop,500,3
77711,point,highway,traffic_signals,1000,2
96949,point,highway,crossing,1000,2
48067,point,highway,turning_circle,500,12
84357,point,highway,motorway_junction,1000,1
78031,point,highway,crossing,500,6
4103,point,highway,bus_stop,500,4
16073,point,highway,give_way,1000,6
20165,point,highway,crossing,1000,296
112052,point,highway,turning_circle,1000,1
57887,point,highway,turning_circle,500,10
65723,point,highway,stop,1000,26
69909,point,highway,traffic_signals,500,32
120513,point,highway,bus_stop,1000,6
78031,point,highway,stop,1000,3
79715,point,highway,turning_circle,1000,5
73667,point,highway,give_way,1000,3
57787,point,highway,bus_stop,500,3
103850,point,highway,stop,500,3
39663,point,highway,bus_stop,500,4
72609,point,highway,bus_stop,500,8
125883,point,highway,turning_circle,500,1
110080,point,highway,bus_stop,1000,6
37725,point,highway,traffic_signals,1000,25
63991,point,highway,steps,1000,1
18287,point,highway,traffic_signals,1000,16
57355,point,highway,crossing,500,1
73689,point,highway,stop,1000,166
78107,point,highway,turning_circle,1000,14
36111,point,highway,elevator,1000,1
59873,point,highway,turning_loop,1000,1
53517,point,highway,turning_circle,1000,11
20721,point,highway,traffic_signals,1000,48
104718,point,highway,traffic_signals,500,12
70701,point,highway,stop,500,45
69447,point,highway,crossing,500,23
87815,point,highway,motorway_junction,1000,3
56545,point,highway,stop,1000,142
56545,point,highway,traffic_signals,500,3
69835,point,highway,crossing,500,8
113066,point,highway,crossing,1000,3
119505,point,highway,turning_circle,1000,17
78819,point,highway,stop,500,16
65437,point,highway,turning_circle,1000,3
104672,point,highway,traffic_signals,1000,37
20165,point,highway,turning_circle,500,8
61619,point,highway,crossing,500,1
60455,point,highway,traffic_signals,1000,4
79213,point,highway,turning_circle,1000,26
104708,point,highway,stop,1000,1
114379,point,highway,motorway_junction,1000,1
69207,point,highway,turning_circle,500,9
109050,point,highway,turning_circle,1000,1
79617,point,highway,traffic_signals,1000,2
28503,point,highway,turning_circle,1000,25
16073,point,highway,stop,500,53
73689,point,highway,priority,1000,4
