sensor_id,geom_type,geo_feature,feature_type,buffer_size,value
60353,line,highway,trunk_link,1000,370.0694981382546
109718,line,highway,residential,1000,12690.010045843108
86407,line,highway,footway,500,284.2423624476477
104718,line,highway,secondary_link,1000,282.2918964750396
61193,line,highway,residential,500,8049.043474665314
109324,line,highway,secondary_link,500,66.52845320199734
61321,line,highway,residential,500,2456.1962919452185
26379,line,waterway,river,1000,613.8745381817472
70637,line,highway,path,100,9.601535762810409
26561,line,waterway,stream,500,118.4012793951676
61015,line,man_made,bridge,1000,17.00665172711219
81731,line,highway,steps,1000,138.19762963747996
32537,line,highway,residential,100,264.7005654169617
32537,line,highway,footway,1000,11004.557684058193
81047,line,waterway,drain,1000,454.4735360408666
75739,line,highway,service,500,10053.916897379266
56777,line,highway,primary,1000,3546.4535656938115
19511,line,highway,secondary,1000,6168.034572396287
120853,line,waterway,stream,500,645.9256228040466
19157,line,highway,secondary,500,2757.9993540529745
112688,line,man_made,reservoir_covered,1000,468.7630906035247
18453,line,highway,footway,500,456.144634193336
60007,line,highway,motorway_link,500,395.059236382876
4445,line,highway,residential,1000,13565.421421816422
4445,line,highway,unclassified,1000,59.36990339552337
98865,line,highway,secondary,1000,2712.217503942779
98865,line,highway,motorway,1000,567.5989299455969
89847,line,highway,tertiary,1000,5878.821950080432
53329,line,highway,service,500,131.21122292956963
121453,line,highway,cycleway,1000,3810.225975196152
25507,line,highway,path,500,51.65644691824093
112052,line,highway,service,500,624.5383308491461
73743,line,highway,path,500,3706.771166165994
110666,line,waterway,stream,500,1905.6706725940105
37849,line,highway,residential,500,6940.480782281758
18481,line,highway,secondary_link,1000,56.2516089255784
114379,line,highway,residential,500,5166.593541871222
97693,line,highway,footway,1000,20968.36936891701
19153,line,highway,tertiary,500,531.9138443732929
36111,line,waterway,stream,500,367.70404397201537
39663,line,highway,residential,1000,19787.64505925338
74161,line,highway,motorway,500,701.9590693570785
70097,line,highway,cycleway,1000,612.4709844523428
87815,line,highway,cycleway,1000,1293.7497477166396
15669,line,highway,footway,500,55.6720570697664
69451,line,highway,cycleway,1000,1234.7319102986137
69451,line,highway,residential,500,1744.354061091411
114557,line,highway,motorway_link,1000,2453.530656001661
59873,line,highway,footway,500,99.7024171272341
14161,line,waterway,stream,1000,2142.963777906873
2362,line,highway,secondary,100,192.27937315557
1680,line,highway,footway,1000,15.451349801921264
89725,line,highway,footway,1000,6492.47991608312
97109,line,highway,footway,500,203.8808495443137
56777,line,highway,unclassified,500,1464.4508902100483
86887,line,highway,service,100,251.7817045822713
120853,line,highway,residential,100,202.78067185536065
19613,line,highway,service,500,477.3870635995176
57787,line,highway,secondary_link,1000,125.90340658358474
55449,line,highway,unclassified,100,199.2693312094328
89847,line,highway,primary,1000,431.0143687336711
15803,line,highway,unclassified,1000,287.71412540328106
53329,line,highway,track,500,505.1486624999119
11416,line,highway,path,1000,46.418300745737255
113632,line,highway,service,100,206.91998917366843
101221,line,highway,cycleway,1000,2851.15444630655
69197,line,highway,footway,1000,5138.331728623054
109718,line,highway,path,1000,1714.5305884246586
64723,line,highway,unclassified,500,412.6512477213628
128231,line,highway,service,100,309.57368026258854
37725,line,highway,residential,500,8809.723881144917
19153,line,highway,tertiary,1000,4170.302357221864
115705,line,highway,tertiary_link,1000,114.6670217906974
69447,line,highway,footway,500,3219.525628896297
72081,line,waterway,drain,1000,594.9565811166137
112688,line,highway,service,500,564.2277258722697
70207,line,highway,service,100,132.8334583328628
7974,line,highway,service,1000,2418.8806280682143
48633,line,highway,footway,1000,13751.14263308888
49327,line,highway,service,500,2288.3300230929376
51371,line,highway,residential,500,6809.2567844498535
90465,line,highway,pedestrian,500,60.65954726358237
19601,line,highway,tertiary,1000,85.75612262264129
125965,line,waterway,drain,1000,658.3217347764983
89725,line,man_made,works,1000,603.7499141223986
20573,line,highway,residential,100,3.4428978444065463
60663,line,highway,residential,500,6585.793929151537
55969,line,highway,residential,500,1625.8820732401225
64763,line,highway,secondary,500,1361.60321089844
104672,line,highway,service,1000,32001.666551100887
53401,line,highway,residential,1000,26516.39900104488
64795,line,highway,secondary_link,1000,174.15817924926384
92029,line,highway,residential,100,203.69785591905884
17839,line,highway,residential,100,185.7453581473135
70533,line,highway,tertiary,1000,2217.4719713119493
89847,line,highway,motorway_link,1000,2140.04937360942
113066,line,highway,track,1000,1409.3792569345558
12857,line,highway,secondary,1000,4427.0931243478935
134246,line,highway,footway,500,6325.861846273079
124099,line,man_made,pipeline,500,1105.8521145167958
97095,line,highway,track,500,206.70599662727864
63421,line,highway,cycleway,1000,1690.2673537558285
16073,line,highway,footway,500,574.4750122667875
22963,line,highway,secondary,1000,2195.5076289312265
19153,line,highway,pedestrian,1000,991.7198730046484
82079,line,highway,construction,1000,130.64134928923812
114189,line,highway,unclassified,1000,293.96304852050696
75021,line,highway,primary,500,1413.965429273646
75021,line,highway,footway,500,843.1824951586575
79337,line,highway,residential,1000,18973.249928534697
72081,line,highway,motorway,1000,4689.230506154185
39665,line,highway,path,500,327.71145513217857
78031,line,highway,cycleway,500,237.1375624358324
17909,line,highway,tertiary,500,573.3287377334926
14295,line,highway,service,1000,2178.3981365635914
76355,line,highway,service,1000,4971.8854420640655
83227,line,highway,service,500,1966.0250365683032
90819,line,highway,service,100,111.88512339297968
99657,line,highway,footway,500,10068.273888515683
119993,line,highway,path,1000,1979.4435909685
110666,line,highway,track,1000,373.3483011704979
84997,line,highway,residential,1000,20778.34467727541
79177,line,highway,residential,100,316.2737047408076
135134,line,highway,service,1000,1806.6345214831952
19573,line,highway,trunk_link,1000,381.3620054734157
19573,line,waterway,drain,1000,659.1835526589703
19157,line,highway,secondary_link,500,152.46991492472014
92029,line,highway,service,500,640.5868425128646
37257,line,waterway,stream,1000,2297.1271119086646
112834,line,highway,secondary,100,303.88796262152226
78107,line,highway,secondary_link,1000,216.60569436308936
2350,line,highway,residential,1000,16357.711823956415
82863,line,highway,track,1000,2695.991192942574
134246,line,highway,residential,500,5591.71874316802
82337,line,highway,path,1000,5004.367753530692
108524,line,highway,residential,1000,11060.820428154211
81661,line,waterway,stream,1000,7179.472741598683
78787,line,highway,residential,500,644.705017204955
63421,line,highway,service,500,1289.351629457583
90925,line,highway,residential,500,5411.900584091821
90925,line,highway,service,1000,14247.9175883128
73755,line,highway,motorway,1000,3998.719728210387
73755,line,highway,motorway_link,500,45.948896734049775
110080,line,highway,footway,500,1257.3119557191728
80519,line,highway,footway,500,600.6584384817367
34523,line,highway,residential,100,634.766501637627
70701,line,highway,service,100,46.08298306344648
70009,line,man_made,tower,1000,34.58112481766262
77807,line,highway,pedestrian,1000,479.1143266517563
62291,line,highway,steps,500,372.7735494508692
66183,line,highway,service,1000,4901.442325243708
37725,line,highway,tertiary,500,1528.221362420657
37725,line,highway,steps,100,94.39187002352708
69909,line,highway,steps,500,51.90591399959278
82055,line,highway,secondary,1000,4958.702965995243
82079,line,highway,tertiary,500,2996.595278096713
75061,line,highway,residential,1000,17979.05529777319
118965,line,highway,path,1000,1716.99447567103
116661,line,highway,path,500,68.24144657357772
87815,line,highway,tertiary,100,49.47954000780702
60455,line,highway,path,500,396.3160042000432
112242,line,highway,service,100,67.419728460266
84029,line,waterway,stream,1000,4899.183931352063
2653,line,highway,residential,1000,27995.208017035184
4431,line,highway,tertiary,500,1925.263387186308
4431,line,highway,footway,100,432.4434775998256
85697,line,highway,footway,100,264.18879987058654
76597,line,highway,service,1000,12869.103717823464
64763,line,highway,trunk,1000,2891.2670713001216
20165,line,highway,primary,1000,2854.7640345059817
86911,line,highway,service,500,839.6639195718709
92029,line,waterway,stream,1000,1553.291890472697
77711,line,highway,residential,1000,26930.765110158987
112834,line,highway,tertiary_link,500,35.31984913365123
112834,line,highway,footway,1000,65638.17508870664
83549,line,highway,footway,1000,58673.67058080218
15803,line,highway,service,500,1683.3253148845129
55475,line,highway,service,500,1511.1796647054323
104460,line,highway,service,1000,27942.7238997661
53027,line,highway,tertiary,1000,3073.3680769623898
20573,line,waterway,stream,500,609.4448685275672
70009,line,highway,construction,1000,80.07257302034725
35809,line,highway,tertiary,1000,10966.306810791117
35809,line,highway,service,500,1544.287906320832
51301,line,highway,footway,500,11410.57910914368
85867,line,highway,steps,1000,2497.739834227976
35809,line,man_made,courtyard,1000,152.42708560490354
70669,line,man_made,pier,1000,699.0404514831393
114189,line,highway,tertiary,1000,2868.033811930768
38747,line,highway,residential,500,2941.937295914017
70449,line,highway,secondary,500,432.2469061479368
62419,line,highway,service,500,1129.646567137775
126479,line,highway,tertiary,500,306.5245422982009
89751,line,highway,track,500,224.6570046363072
15669,line,waterway,river,500,1194.526292899697
79337,line,highway,service,1000,7859.092402207412
79337,line,highway,service,500,926.7422300087328
55463,line,highway,service,500,2625.6738039843794
3265,line,highway,residential,500,3187.458368570813
78031,line,highway,residential,500,3204.5188737612434
14117,line,highway,living_street,100,249.5834323062898
14973,line,highway,steps,1000,68.10014509644887
55277,line,highway,steps,1000,28.646877376917352
89911,line,highway,primary,1000,4484.257263673537
89911,line,highway,motorway_link,500,520.9620749349496
2362,line,highway,primary,1000,3670.378665298864
2362,line,man_made,bridge,1000,161.24001866082503
6818,line,highway,residential,1000,7285.780897216868
75739,line,highway,track,1000,709.9768191942508
84997,line,highway,secondary_link,1000,94.4227053289864
93521,line,highway,path,500,225.2866790787674
135134,line,highway,secondary,1000,1750.392231096991
9162,line,waterway,stream,500,827.4615200765809
64857,line,highway,footway,500,2451.1158949636656
53401,line,waterway,stream,1000,1734.0184639587171
19157,line,highway,residential,500,3883.533816516101
86911,line,highway,path,500,78.38753202562079
57787,line,waterway,drain,1000,428.44276736627234
20547,line,highway,secondary,1000,820.9754022095688
16717,line,highway,unclassified,500,185.2575040682807
89847,line,highway,footway,1000,507.4184055642587
12857,line,highway,residential,100,352.71403163271026
11416,line,highway,service,1000,12715.607467694232
122079,line,highway,residential,1000,9438.131872058377
122079,line,highway,motorway,1000,3803.128491907696
66029,line,highway,track,500,952.8277889810216
76683,line,highway,footway,1000,6868.725142488784
77807,line,highway,residential,500,8091.640963664966
65723,line,highway,footway,1000,36934.48756467344
63991,line,highway,service,100,17.362977947436775
85867,line,highway,footway,1000,35415.90515785598
82991,line,highway,service,500,1795.8633509866795
68393,line,highway,secondary,1000,4446.520628792058
61321,line,highway,service,1000,2185.3070556449584
60455,line,highway,tertiary,500,723.3096404735873
75529,line,highway,service,100,113.60960501995508
11844,line,highway,secondary,500,2424.8728734041206
119667,line,highway,trunk,1000,92.82343336424492
80583,line,highway,footway,1000,875.2503101730558
60833,line,highway,steps,1000,122.55510878751032
93521,line,waterway,stream,1000,5115.740450101357
19507,line,highway,service,500,76.7640923797467
53401,line,highway,service,500,192.60705237395416
64795,line,highway,service,500,3387.993653629998
64795,line,highway,residential,100,187.4631187806137
85823,line,waterway,stream,500,1561.830239891931
53517,line,highway,secondary,500,3074.5207928461814
85823,line,highway,pedestrian,1000,91.31696794718216
131077,line,highway,residential,500,7314.150116170056
78267,line,highway,cycleway,1000,663.7881955140543
4658,line,highway,residential,100,425.2819625581084
78947,line,man_made,storage_tank,1000,65.78553268244447
28425,line,highway,service,500,3219.147779197598
8334,line,highway,primary,500,970.3152199714464
70471,line,highway,service,100,330.2982719093628
20573,line,waterway,river,1000,1529.1676344552784
85081,line,highway,footway,1000,11039.850322753397
34523,line,highway,service,500,7071.289368146527
110494,line,waterway,stream,1000,1985.5062923404985
110494,line,highway,residential,100,115.77930406198544
38747,line,highway,service,1000,6417.015929440003
115705,line,highway,platform,1000,18.00203703972416
116661,line,highway,residential,500,8757.18470051531
56545,line,highway,steps,1000,35.375054527753186
61619,line,highway,residential,1000,11417.82316518658
14885,line,waterway,stream,1000,299.55266608923523
19311,line,highway,path,1000,365.4330413865707
96159,line,highway,service,500,1847.5549564795515
16059,line,highway,residential,1000,5290.580965346808
14117,line,highway,service,1000,2967.892806222186
11844,line,highway,residential,500,6336.002506748683
81731,line,highway,service,1000,2601.4669301133545
29201,line,highway,tertiary,1000,612.5123366477686
6218,line,highway,unclassified,100,61.251194625778
91335,line,highway,residential,1000,19249.894449523308
78015,line,highway,service,100,168.87119212273603
85697,line,waterway,canal,500,246.03297347996485
76597,line,highway,primary,100,386.4063466227484
37009,line,highway,trunk,500,1626.672654783145
73533,line,waterway,ditch,1000,3268.107965378357
134246,line,highway,residential,1000,24881.29143588188
134220,line,highway,residential,100,316.0559499347238
122079,line,highway,path,1000,1421.4592076382908
79213,line,highway,path,500,577.6687028447973
117939,line,highway,residential,100,310.0076356029822
