sensor_id,geom_type,geo_feature,feature_type,buffer_size,value
69447,point,highway,turning_circle,500,7
56545,point,highway,bus_stop,1000,12
14161,point,highway,crossing,500,28
51681,point,highway,turning_circle,1000,28
82265,point,highway,turning_circle,1000,6
61015,point,highway,crossing,1000,1
48633,point,highway,stop,1000,19
139716,point,highway,traffic_signals,500,4
60353,point,highway,turning_circle,1000,38
60353,point,highway,bus_stop,1000,5
119567,point,highway,motorway_junction,500,1
51569,point,highway,crossing,1000,8
96949,point,highway,traffic_signals,1000,8
122079,point,highway,stop,500,22
80691,point,highway,turning_circle,1000,9
82079,point,highway,stop,500,11
70701,point,highway,bus_stop,500,2
87345,point,highway,turning_circle,1000,1
113066,point,highway,trailhead,1000,1
81047,point,highway,turning_circle,500,5
101221,point,highway,bus_stop,1000,5
60663,point,highway,bus_stop,1000,20
85823,point,highway,traffic_signals,100,4
20085,point,highway,turning_circle,1000,19
109718,point,highway,crossing,500,7
89847,point,highway,traffic_signals,1000,9
2350,point,highway,crossing,1000,26
4431,point,highway,turning_circle,1000,27
94955,point,highway,traffic_signals,500,20
60105,point,highway,crossing,500,4
104460,point,highway,traffic_signals,500,2
71503,point,highway,bus_stop,1000,21
60455,point,highway,crossing,1000,1
2653,point,highway,turning_circle,1000,16
80583,point,highway,crossing,1000,1
67983,point,highway,crossing,500,1
66183,point,highway,stop,1000,22
19335,point,highway,crossing,1000,25
66183,point,highway,bus_stop,500,13
65259,point,highway,stop,500,6
75775,point,highway,turning_loop,1000,1
83227,point,highway,turning_circle,1000,21
2362,point,highway,traffic_signals,500,6
18883,point,highway,crossing,1000,178
22963,point,highway,turning_circle,500,2
69197,point,highway,bus_stop,1000,8
85081,point,highway,traffic_signals,1000,9
83549,point,highway,traffic_signals,500,8
83549,point,highway,crossing,1000,256
70669,point,highway,stop,500,6
104432,point,highway,turning_loop,1000,1
85015,point,highway,turning_circle,1000,34
14063,point,highway,crossing,1000,1
55463,point,highway,crossing,1000,125
28425,point,highway,crossing,1000,76
89847,point,highway,bus_stop,1000,31
6244,point,highway,turning_circle,1000,7
48633,point,highway,bus_stop,500,3
82863,point,highway,turning_circle,1000,9
85823,point,highway,crossing,1000,239
16541,point,highway,traffic_signals,1000,21
2653,point,highway,bus_stop,1000,15
121439,point,highway,turning_circle,100,2
69447,point,highway,stop,100,2
75061,point,highway,turning_circle,500,2
68669,point,highway,give_way,1000,4
75775,point,highway,turning_loop,500,1
82265,point,highway,turning_loop,1000,1
19157,point,highway,bus_stop,100,2
92029,point,highway,crossing,1000,60
98865,point,highway,bus_stop,1000,16
87779,point,highway,turning_circle,1000,9
75021,point,highway,turning_circle,500,2
75021,point,highway,bus_stop,500,4
14885,point,highway,turning_loop,1000,1
91335,point,highway,crossing,500,9
121439,point,highway,give_way,1000,3
73853,point,highway,turning_circle,1000,17
76377,point,highway,traffic_signals,1000,2
80691,point,highway,traffic_signals,1000,9
77807,point,highway,traffic_signals,1000,16
70701,point,highway,stop,500,45
82079,point,highway,stop,1000,37
115705,point,highway,turning_circle,1000,3
79617,point,highway,traffic_signals,1000,2
82863,point,highway,traffic_signals,1000,6
19613,point,highway,stop,500,7
53299,point,highway,crossing,1000,223
89751,point,highway,turning_circle,500,3
53517,point,highway,traffic_signals,500,15
122079,point,highway,stop,100,1
62291,point,highway,turning_circle,500,1
70009,point,highway,turning_circle,1000,4
120513,point,highway,crossing,500,19
62493,point,highway,turning_circle,1000,12
9168,point,highway,stop,500,1
63421,point,highway,crossing,1000,8
94955,point,highway,give_way,1000,13
37849,point,highway,crossing,100,5
69207,point,highway,traffic_signals,1000,1
119567,point,highway,crossing,1000,30
55449,point,highway,bus_stop,500,1
38371,point,highway,crossing,1000,65
36111,point,highway,motorway_junction,1000,1
36111,point,highway,crossing,500,22
65259,point,highway,traffic_signals,1000,3
104432,point,highway,bus_stop,500,14
75529,point,highway,crossing,500,5
83641,point,highway,elevator,500,1
119505,point,highway,crossing,1000,7
60353,point,highway,motorway_junction,1000,1
63469,point,highway,turning_circle,500,5
65223,point,highway,turning_circle,500,12
65747,point,highway,turning_circle,1000,14
59873,point,highway,turning_loop,500,1
77711,point,highway,traffic_signals,1000,2
37923,point,highway,turning_circle,1000,34
91335,point,highway,turning_circle,500,6
66029,point,highway,turning_circle,500,4
19153,point,highway,bus_stop,500,23
113160,point,highway,turning_circle,500,1
62493,point,highway,traffic_signals,1000,2
26379,point,highway,bus_stop,1000,3
6218,point,highway,traffic_signals,500,3
9168,point,highway,crossing,1000,29
49327,point,highway,stop,1000,7
60353,point,highway,crossing,1000,102
22963,point,highway,stop,1000,110
114557,point,highway,turning_circle,500,4
110494,point,highway,turning_circle,100,1
113052,point,highway,bus_stop,1000,6
57887,point,highway,motorway_junction,1000,1
73853,point,highway,turning_circle,500,3
80691,point,highway,bus_stop,1000,59
18287,point,highway,stop,1000,57
104432,point,highway,bus_stop,1000,47
134440,point,highway,turning_circle,1000,2
6228,point,highway,crossing,1000,3
143602,point,highway,crossing,1000,4
77049,point,highway,turning_loop,1000,9
82863,point,highway,turning_circle,500,1
83041,point,highway,bus_stop,1000,1
19157,point,highway,crossing,1000,349
114889,point,highway,bus_stop,500,5
55449,point,highway,street_lamp,1000,2
72609,point,highway,stop,1000,1
112688,point,highway,turning_circle,500,4
40471,point,highway,mini_roundabout,1000,1
69909,point,highway,give_way,1000,1
22459,point,highway,turning_circle,500,3
11844,point,highway,crossing,500,1
12719,point,highway,crossing,500,6
4103,point,highway,traffic_signals,1000,7
6228,point,highway,traffic_signals,500,7
32537,point,highway,bus_stop,1000,4
94955,point,highway,stop,1000,118
16073,point,highway,give_way,1000,6
19511,point,highway,traffic_signals,500,5
104460,point,highway,street_lamp,500,31
110494,point,highway,crossing,1000,22
78267,point,highway,crossing,1000,10
122079,point,highway,turning_circle,1000,4
104718,point,highway,motorway_junction,500,1
11844,point,highway,give_way,1000,1
99657,point,highway,crossing,500,43
54169,point,highway,crossing,500,1
83641,point,highway,crossing,1000,57
