sensor_id,geom_type,geo_feature,feature_type,buffer_size,value
71503,polygon,amenity,cafe,500,213.32264251618585
104718,polygon,landuse,residential,500,6961.666188357738
98865,polygon,building,residential,500,3744.646963956648
104672,polygon,building,office,500,199.27306131440446
28503,polygon,building,apartments,500,1430.184404227155
103850,polygon,amenity,toilets,100,90.26205757571569
90465,polygon,amenity,cafe,100,1050.9884406726264
14973,polygon,building,commercial,500,4165.887605472209
8334,polygon,amenity,parking,100,674.2928299567734
34523,polygon,building,residential,500,12380.339270935696
77711,polygon,landuse,recreation_ground,1000,10449.65829634241
104460,polygon,landuse,residential,500,51054.88275291834
39665,polygon,landuse,retail,500,4005.7015185039195
9168,polygon,building,greenhouse,500,372.3247804184664
65259,polygon,natural,wood,100,63.207226965180126
51301,polygon,building,office,500,213.30514941774624
104672,polygon,landuse,construction,500,20938.038272963786
112834,polygon,amenity,shelter,500,213.7445925288024
49327,polygon,building,house,500,146481.06180367048
20721,polygon,amenity,nightclub,500,1600.0594187563436
104432,polygon,building,garage,500,133.20029377157
20721,polygon,amenity,parking,1000,31449.040934553108
73743,polygon,landuse,residential,500,692311.4855960557
18815,polygon,landuse,residential,500,780361.2880653183
104460,polygon,tourism,hotel,500,5278.668547765721
84997,polygon,landuse,residential,500,510501.8124619308
77711,polygon,natural,grassland,1000,61809.61757942553
37197,polygon,tourism,hotel,1000,14515.574674617274
68669,polygon,landuse,retail,500,19921.211103403617
28425,polygon,amenity,school,100,9124.354006754931
37197,polygon,building,hotel,1000,2386.763075012339
15123,polygon,building,commercial,500,3073.4813423145074
19047,polygon,building,garage,500,103.83188880437271
119993,polygon,building,house,500,1445.0919771622462
82265,polygon,landuse,residential,500,56193.219849954236
104432,polygon,landuse,religious,500,10158.695085848085
64795,polygon,landuse,residential,500,601282.6308428101
70449,polygon,amenity,place_of_worship,500,901.0534470693325
134260,polygon,landuse,residential,100,15185.146703115517
134220,polygon,landuse,residential,500,323496.36814547743
38371,polygon,building,house,500,4042.565319428078
103850,polygon,building,house,500,4038.2037222437275
82991,polygon,amenity,parking,500,7572.118442484712
112834,polygon,landuse,residential,500,668918.2881983786
18883,polygon,amenity,fuel,500,2674.901128117531
69447,polygon,building,public,500,275.60065072728236
4431,polygon,landuse,residential,100,26287.620277522936
20721,polygon,amenity,nightclub,1000,1600.0594187563436
69599,polygon,amenity,bicycle_parking,500,177.97216235613365
121601,polygon,natural,wood,500,67267.77177622149
112834,polygon,amenity,place_of_worship,500,1389.6776058116461
76683,polygon,amenity,fire_station,500,1060.0186521115188
114557,polygon,landuse,commercial,100,6141.631889172777
70701,polygon,amenity,library,500,1670.6156747587258
69835,polygon,landuse,residential,100,31214.45152231927
39665,polygon,amenity,school,500,208831.91131867477
37197,polygon,landuse,cemetery,500,19023.70252203783
63991,polygon,building,school,100,3006.6903432736003
114889,polygon,landuse,residential,100,31214.451522427124
37725,polygon,building,church,500,1778.6827619192304
37197,polygon,building,detached,500,270.8185573360956
135134,polygon,landuse,residential,500,739170.8577554201
81047,polygon,landuse,industrial,500,785.4203132966679
57355,polygon,building,apartments,100,317.7661089984974
134440,polygon,building,commercial,500,7887.342675849941
29201,polygon,building,house,500,12383.069395214954
104672,polygon,building,commercial,500,3239.719629110112
92173,polygon,natural,water,1000,1199429.3381169206
124099,polygon,building,school,500,7502.983945223583
85081,polygon,building,semidetached_house,500,374.557820730521
103960,polygon,landuse,residential,100,31214.45152304358
19613,polygon,amenity,fire_station,500,729.6757123127854
70097,polygon,amenity,post_office,1000,1185.353264056754
110318,polygon,building,retail,1000,12166.55126128425
84357,polygon,amenity,parking,500,5818.132645774772
73689,polygon,building,detached,500,1229.2370398414525
128231,polygon,building,school,500,4897.342267264891
14973,polygon,building,apartments,500,19022.139621554717
122079,polygon,landuse,construction,500,199564.91593339207
110318,polygon,building,apartments,1000,56079.359383891904
85867,polygon,amenity,police,500,1998.5295512438902
53151,polygon,landuse,grass,100,6396.002212673493
118569,polygon,natural,grassland,500,76745.40400264137
51565,polygon,building,school,500,15642.091641328878
134314,polygon,landuse,residential,100,31214.451522319974
4417,polygon,building,house,500,51258.086878042835
20085,polygon,landuse,residential,100,31214.45152234615
